Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath
"Jamaica Plain","63 Mozart St. #R Jamaica Plain","3100","0","0","3","2"
"Jamaica Plain","12 Dalrymple St. #3 Jamaica Plain","4200","0","0","5","2"
"Jamaica Plain","49 Chestnut Ave. #3 Jamaica Plain","2500","0","0","2","1"
"Beacon Hill","20 Mount Vernon #102 Beacon Hill","1800","0","0","N/A","1"
"Mission Hill","75 Saint Alphonsus St. #1502 Mission Hill","3279","0","0","2","1.5"
"Jamaica Plain","5 Buckley Ave. #3 Jamaica Plain","2975","0","0","3","1"
"Back Bay","770 Boylston St. #780-19D Back Bay","3060","0","0","N/A","1"
"Jamaica Plain","81-85 Amory St. #401 Jamaica Plain","3850","0","0","3","2"
"Fort Hill","162 Centre St. #1 Fort Hill","2750","0","0","2","1"
"Dorchester","65 River #2 Dorchester","1800","0","0","1","1"
"Jamaica Plain","3266 Washington St. #3F Jamaica Plain","2950","0","0","3","1"
"Mission Hill","39 Calumet #2 Mission Hill","3900","0","0","4","1"
"Allston","9 Park Vale Ave. #12 Allston","2800","0","0","2","1"
"Fenway","313 Huntington Ave. #2B Fenway","3100","0","0","2","1"
"Jamaica Plain","49 Chestnut Ave. #3 Jamaica Plain","2500","0","0","2","1"
"Mission Hill","75 Saint Alphonsus St. #215 Mission Hill","3229","0","0","2","1.5"
"Allston","525 Lincoln St. #Various (4 bed) Allston","8100","0","0","4","3"
"Allston","1415 Commonwealth Ave. #203 Allston","3600","0","0","3","2"
"Jamaica Plain","225 Centre St. #301 Jamaica Plain","3116","0","0","2","2"
"Fenway","1330 Boylston St. #1415 Fenway","5150","0","0","1","1.5"
"Fenway","49 Burbank St. #8 Fenway","4454","0","0","2","1"
"Jamaica Plain","9 Cornwall St. #PH Jamaica Plain","3950","0","0","3","1"
"Allston","1185 Commonwealth Ave. #1 Allston","3555","0","0","3","1"
"Allston","1185 Commonwealth Ave. #3 Allston","3795","0","0","3","2"
"Beacon Hill","70 Joy St. #15 Beacon Hill","3300","0","0","2","1"
"Fenway","1260 Boylston St. #807 Fenway","3276","0","0","N/A","1"
"Brighton","1687 Commonwealth Ave. #18 Brighton","2725","0","0","2","1"
"Jamaica Plain","56 Forbes St. #2 Jamaica Plain","3450","0","0","3","1"
"Jamaica Plain","10 Union Ave. #10A-2 Jamaica Plain","3750","0","0","3","1"
"South End","556 Columbus Ave. #11-C South End","2595","0","0","1","1"
"Brighton","125 Chiswick Rd. #212 Brighton","2800","0","0","2","1"
"Washington Square","1677 Beacon St. #2 Washington Square","4400","0","0","4","2"
"Brighton","10 Camelot Ct. #10-2L Brighton","3273","0","0","2","1"
"Jamaica Plain","3611 Washington St. #2413 Jamaica Plain","3278","0","0","2","2"
"Roxbury","182 Walnut Ave. #3 Roxbury","3425","0","0","4","1"
"Allston","157 Everett St. #203 Allston","3650","0","0","2","2"
"Fenway","90 Westland Ave. #203 Fenway","2950","0","0","2","1"
"Jamaica Plain","27 Parkton Rd. #3 Jamaica Plain","4595","0","0","3","2"
"Mission Hill","75 Saint Alphonsus St. #410 Mission Hill","2645","0","0","N/A","1"
"Mission Hill","75 Saint Alphonsus St. #2007 Mission Hill","4956","0","0","3","2"
"Brighton","11 Camelot Ct. #11-6J Brighton","3348","0","0","2","1"
"Roxbury","150 Camden St. #150 - 504 Roxbury","4600","0","0","2","2"
"Roxbury","150 Camden St. #150 - 506 Roxbury","3200","0","0","1","1"
"Back Bay","290 Commonwealth Ave. #24 Back Bay","1875","0","0","N/A","1"
"Back Bay","1 Charles St. South #214 Back Bay","3850","0","0","1","1"
"Back Bay","122 Beacon St. #1 Back Bay","3100","0","0","N/A","1"
"Brighton","63 Sutherland #B-2 Brighton","1700","0","0","1","1"
"Hyde Park","35 Williams Ave. #1 Hyde Park","2750","0","0","2","1"
"Jamaica Plain","112 Amory St. #1 Jamaica Plain","2000","0","0","1","1"
"Dorchester","85 Pierce Ave. #2 Dorchester","2800","0","0","2","1"
"Jamaica Plain","285 Lamartine St. #1 Jamaica Plain","5875","0","0","4","2"
"Allston","1185 Commonwealth Ave. #101 Allston","4500","0","0","4","2"
"Jamaica Plain","285 Lamartine St. #1 Jamaica Plain","5875","0","0","4","2"
"Roxbury","23-25 Rockledge St. #23 Roxbury","4100","0","0","3","1.5"
"Jamaica Plain","17 Pond Street - 17 #1 Jamaica Plain","3250","0","0","3","1"
"Mission Hill","75 Saint Alphonsus St. #702 Mission Hill","3249","0","0","2","1.5"
"Mission Hill","75 Saint Alphonsus St. #708 Mission Hill","2469","0","0","1","1"
"Mission Hill","75 Saint Alphonsus St. #1602 Mission Hill","3279","0","0","2","1.5"
"Mission Hill","75 Saint Alphonsus St. #409 Mission Hill","3439","0","0","2","1.5"
"Mission Hill","75 Saint Alphonsus St. #2006 Mission Hill","2589","0","0","1","1"
"Fenway","180 Brookline Ave. #1046 Fenway","5274","0","0","2","2"
"Allston","1185 Commonwealth Ave. #5 Allston","3000","0","0","2","1"
"Brighton","1550 Soldiers Field Rd. #316 Brighton","3988","0","0","2","2"
"Mission Hill","101 South Huntington Ave. #303 Mission Hill","6889","0","0","3","2"
"Brighton","125 Chiswick Rd. #207 Brighton","2600","0","0","1","1"
