Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit_distance,Northeastern University_transit_cost,Northeastern University_driving_distance,Boston University_transit_distance,Boston University_transit_cost,Boston University_driving_distance,Boston College_transit_distance,Boston College_transit_cost,Boston College_driving_distance
Dorchester,"84 Greenwood,Unit 3L,Boston,MA,02121,Dorchester",1450,0,0,1,1,5725,1.7,5319,9125,3.4,7423,13278,5.8,11416
Dorchester,"83 Dix St.,Unit 4,Boston,MA,02122,Dorchester",1450,0,0,1,1,11877,4.1,8259,11600,3.4,14472,18369,2.4,13757
Brighton,"42 Brooks St.,Unit Commercial,Boston,MA,02135,Brighton",1500,0,0,1,1,11474,3.4,9411,4530,3.4,7917,2171,0,2964
Allston,"21 Brighton Ave.,Unit C,Boston,MA,02134,Allston",1700,0,0,1,1,4296,4.1,5813,635,0,767,5343,2.4,4289
Allston,"25 Brighton Ave.,Unit A,Boston,MA,02134,Allston",1700,0,0,1,1,4281,4.1,5798,650,0,752,5358,2.4,4274
Allston,"25 Brighton Ave.,Unit A,Boston,MA,02134,Allston",1700,0,0,1,1,4281,4.1,5798,650,0,752,5358,2.4,4274
Dorchester,"12 Wyoming St.,Unit 3,Boston,MA,02121,Dorchester",1750,0,0,1,1,3973,1.7,2870,7289,3.4,6096,11526,5.8,9618
Hyde Park,"15 Madison St.,Unit 2,Boston,MA,02136,Hyde Park",1750,0,0,1,1,12899,3.4,15199,14810,5.8,14839,24824,4.1,13118
Allston,"31 Seattle St.,Unit B,Boston,MA,02134,Allston",1775,0,0,1,1,5718,3.4,4734,3119,3.4,2679,6137,4.1,5291
East Boston,"838 Saratoga,Unit B,Boston,MA,02128,East Boston",1800,0,0,1,1,9494,4.1,9990,11410,4.1,9474,16105,4.1,22312
Roslindale,"624 Hyde Park Ave.,Unit B3,Boston,MA,02131,Roslindale",1830,0,0,1,1,8963,3.4,7381,10874,5.8,9315,20782,4.1,10231
Jamaica Plain,"5 Forbes St.,Unit 2,Boston,MA,02130,Jamaica Plain",1850,0,0,1,1,3363,1.7,2735,6116,3.4,4158,13897,4.1,6643
Dorchester,"22 Humphreys,Unit 4,Boston,MA,02125,Dorchester",1850,0,0,1,1,4281,1.7,2757,7681,3.4,5484,11793,5.8,11053
Dorchester,"22 Humphreys,Unit 4,Boston,MA,02125,Dorchester",1850,0,0,1,1,4281,1.7,2757,7681,3.4,5484,11793,5.8,11053
Jamaica Plain,"5 Forbes St.,Unit 2,Boston,MA,02130,Jamaica Plain",1850,0,0,1,1,3363,1.7,2735,6116,3.4,4158,13897,4.1,6643
Hyde Park,"196 fairmount,Unit 7,Boston,MA,02136,Hyde Park",1895,0,0,1,1,13202,3.4,10768,22322,4.1,15046,27017,4.1,13325
Jamaica Plain,"412 Centre St.,Unit 3,Boston,MA,02130,Jamaica Plain",1900,0,0,1,1,4284,1.7,2966,6310,3.4,4225,14090,4.1,6635
Brighton,"160 Strathmore,Unit 17,Boston,MA,02135,Brighton",1900,0,0,1,1,6973,2.4,6011,3753,2.4,3726,1493,2.4,1353
Dorchester,"65 River,Unit 2,Boston,MA,02126,Dorchester",1900,0,0,1,1,11250,3.4,11559,14252,5.1,17772,21758,4.1,13153
Brighton,"160 Strathmore,Unit 17,Boston,MA,02135,Brighton",1900,0,0,1,1,6973,2.4,6011,3753,2.4,3726,1493,2.4,1353
Brighton,"1427 Commonwealth Ave.,Unit 102,Boston,MA,02135,Brighton",1900,0,0,1,1,5140,2.4,6568,1920,2.4,2494,3467,2.4,2937
Jamaica Plain,"5 Forbes St.,Unit 4,Boston,MA,02130,Jamaica Plain",1900,0,0,1,1,3363,1.7,2735,6116,3.4,4158,13897,4.1,6643
Brighton,"1427 Commonwealth Ave.,Unit 102,Boston,MA,02135,Brighton",1900,0,0,1,1,5140,2.4,6568,1920,2.4,2494,3467,2.4,2937
Jamaica Plain,"435 Walnut Ave.,Unit 2,Boston,MA,02130,Jamaica Plain",1950,0,0,1,1,5236,1.7,3211,7677,3.4,5315,11441,5.8,8647
Chinatown,"99 Hudson,Unit B,Boston,MA,02111,Chinatown",1995,0,0,1,1,3265,1.7,3789,7022,3.4,4245,10555,2.4,14937
Brighton,"25 Duval,Unit B,Boston,MA,02135,Brighton",2000,0,0,1,1,7277,3.4,7613,5703,3.4,6119,4550,4.1,3840
Brighton,"52 Lanark Rd.,Unit 2,Boston,MA,02135,Brighton",2000,0,0,1,1,6436,2.4,5211,3216,2.4,3233,2329,2.4,2273
Roxbury,"8 North Ave.,Unit 1,Boston,MA,02119,Roxbury",2000,0,0,1,1,3676,1.7,2297,7076,3.4,5024,11192,5.8,10289
