Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit,Northeastern University_driving,Boston University_transit,Boston University_driving,Boston College_transit,Boston College_driving,Northeastern University_transit_cost,Boston University_transit_cost,Boston College_transit_cost
Fenway,165 Hemenway Unit 5,2950,0.2866,1.86,2.0,1.0,196.0,196.0,3606.0,1491.0,10488.0,7922.0,0,1.7,2.4
Fenway,132 Hemenway Unit 10,3200,0.2866,1.86,2.0,1.0,76.0,76.0,3703.0,1371.0,8425.0,12394.0,0,1.7,2.4
Fenway,238 Hemenway Unit 11,4850,0.2866,1.86,3.0,1.0,170.0,170.0,3390.0,1798.0,11478.0,7729.0,0,1.7,5.8
Fenway,238 Hemenway Unit b5,3195,0.2866,1.86,2.0,1.0,170.0,170.0,3390.0,1798.0,11478.0,7729.0,0,1.7,5.8
Fenway,238 Hemenway Unit B8,3395,0.2866,1.86,2.0,1.0,170.0,170.0,3390.0,1798.0,11478.0,7729.0,0,1.7,5.8
Fenway,315 Huntington Unit 2B,3100,0.2866,1.86,2.0,1.0,,,,,,,,,
Fenway,409 Huntington Unit 28,3300,0.2866,1.86,2.0,1.0,,,,,,,,,
Fenway,64 Louis Prang Unit 1,4950,0.2866,1.86,3.0,1.0,,,,,,,,,
Fenway,64 Louis Prang Unit 3,6600,0.2866,1.86,4.0,1.0,,,,,,,,,
Fenway,149 Park dr Unit 22,3250,0.2866,1.86,2.0,1.0,,,,,,,,,
Fenway,447 Park Unit 1A,4800,0.2866,1.86,3.0,1.0,,,,,,,,,
Fenway,447 Park Unit 2A,4800,0.2866,1.86,3.0,1.0,,,,,,,,,
Fenway,463 Park Unit B,4500,0.2866,1.86,3.0,1.0,,,,,,,,,
Fenway,463 Park Unit 15,3200,0.2866,1.86,2.0,1.0,,,,,,,,,
Fenway,463 Park Unit 21,4200,0.2866,1.86,3.0,1.0,,,,,,,,,
Fenway,58 Queensberry Unit 16,3700,0.2866,1.86,3.0,1.0,,,,,,,,,
Fenway,58 Queensberry Unit 21,3750,0.2866,1.86,3.0,1.0,,,,,,,,,
Fenway,97 St Stephen Unit 9,3300,0.2866,1.86,2.0,1.0,,,,,,,,,
Fenway,115 St Stephen Unit 51,3300,0.2866,1.86,2.0,1.0,,,,,,,,,
Fenway,45 Westland Unit 2,2800,0.2866,1.86,1.0,1.0,,,,,,,,,
Fenway,45 Westland Unit 6,4450,0.2866,1.86,3.0,1.0,,,,,,,,,
Fenway,45 Westland Unit 16,4550,0.2866,1.86,3.0,1.0,,,,,,,,,
Fenway,45 Westland Unit 19,4500,0.2866,1.86,3.0,1.0,,,,,,,,,
Brookline,1061 Beacon st  Unit B,4800,0.01,0.25,3.0,2.0,3334.0,2008.0,504.0,1168.0,5281.0,5377.0,1.7,0,2.4
Brookline,131 Brook  Unit 2,4800,0.01,0.25,5.0,2.0,,,,,,,,,
Brookline,241 Freeman Unit 5,4950,0.01,0.25,,,,,,,,,,,
Brookline,312 Tappan Unit 1A,3175,0.01,0.25,2.0,1.0,,,,,,,,,
Brookline,13 Perry Unit 1,2800,0.01,0.25,2.0,1.0,,,,,,,,,
Mission hill,822 Huntington Unit 3,4000,,,4.0,1.0,,,,,,,,,
Mission hill,822 Huntington Unit 4,3600,,,3.0,1.0,,,,,,,,,
Mission hill,838 Huntington Unit 1,3500,,,2.0,1.0,,,,,,,,,
