Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit,Northeastern University_driving,Boston University_transit_distance,Boston University_driving_distance,Boston College_transit_distance,Boston College_driving_distance,Northeastern University_transit_cost,Boston University_transit_cost,Boston College_transit_cost
Fenway,165 Hemenway Unit 5,2950,0.2866,1.86,2.0,1.0,196.0,196,3606.0,1491,10488.0,7922,0.0,1.7,2.4
Fenway,132 Hemenway Unit 10,3200,0.2866,1.86,2.0,1.0,76.0,76,3703.0,1371,8425.0,12394,0.0,1.7,2.4
Fenway,238 Hemenway Unit 11,4850,0.2866,1.86,3.0,1.0,170.0,170,3390.0,1798,11478.0,7729,0.0,1.7,5.8
Fenway,238 Hemenway Unit b5,3195,0.2866,1.86,2.0,1.0,170.0,170,3390.0,1798,11478.0,7729,0.0,1.7,5.8
Fenway,238 Hemenway Unit B8,3395,0.2866,1.86,2.0,1.0,170.0,170,3390.0,1798,11478.0,7729,0.0,1.7,5.8
Brookline,1061 Beacon st  Unit B,4800,0.01,0.25,3.0,2.0,3334.0,2008,504.0,1168,5281.0,5377,1.7,0.0,2.4
Mission hill,226 Parker Hill Ave Unit 1,3600,0.03,0.28,2.0,1.0,2652.0,1632,6111.0,3742,8515.0,6942,1.7,4.1,4.1
Mission hill,226 Parker Hill Ave Unit 4,3600,0.03,0.28,2.0,1.0,2652.0,1632,6111.0,3742,8515.0,6942,1.7,4.1,4.1
Mission hill,226 Parker Hill Ave Unit 5,3600,0.03,0.28,2.0,1.0,2652.0,1632,6111.0,3742,8515.0,6942,1.7,4.1,4.1
Mission hill,226 Parker Hill Ave Unit 6,3600,0.03,0.28,2.0,1.0,2652.0,1632,6111.0,3742,8515.0,6942,1.7,4.1,4.1
Mission hill,226 Parker Hill Ave Unit 8,3600,0.03,0.28,2.0,1.0,2652.0,1632,6111.0,3742,8515.0,6942,1.7,4.1,4.1
Mission hill,226 Parker Hill Ave Unit 10,3500,0.03,0.28,2.0,1.0,2652.0,1632,6111.0,3742,8515.0,6942,1.7,4.1,4.1
Mission hill,226 Parker Hill Ave Unit 11,3500,0.03,0.28,2.0,1.0,2652.0,1632,6111.0,3742,8515.0,6942,1.7,4.1,4.1
